DATE,BAMLEMCBPITRIV
2011-09-12,282.91
2011-09-13,282.30
2011-09-14,281.75
2011-09-15,280.97
2011-09-16,281.10
2011-09-19,280.89
2011-09-20,280.57
2011-09-21,280.14
2011-09-22,277.23
2011-09-23,274.61
2011-09-26,272.59
2011-09-27,271.61
2011-09-28,271.71
2011-09-29,271.53
2011-09-30,270.36
2011-10-03,269.72
2011-10-04,266.73
2011-10-05,266.49
2011-10-06,267.71
2011-10-07,268.87
2011-10-10,269.09
2011-10-11,270.85
2011-10-12,272.58
2011-10-13,274.07
2011-10-14,274.99
2011-10-17,276.11
2011-10-18,276.26
2011-10-19,276.74
2011-10-20,276.37
2011-10-21,276.51
2011-10-24,277.22
2011-10-25,278.57
2011-10-26,278.75
2011-10-27,280.38
2011-10-28,281.44
2011-10-31,282.25
2011-11-01,281.12
2011-11-02,281.32
2011-11-03,281.84
2011-11-04,282.47
2011-11-07,282.47
2011-11-08,282.64
2011-11-09,282.55
2011-11-10,281.79
2011-11-11,281.76
2011-11-14,281.83
2011-11-15,281.55
2011-11-16,281.41
2011-11-17,281.20
2011-11-18,280.72
2011-11-21,280.14
2011-11-22,279.66
2011-11-23,279.11
2011-11-24,279.06
2011-11-25,278.00
2011-11-28,278.68
2011-11-29,277.94
2011-11-30,278.08
2011-12-01,278.44
2011-12-02,279.16
2011-12-05,279.85
2011-12-06,279.52
2011-12-07,280.10
2011-12-08,280.32
2011-12-09,279.78
2011-12-12,279.84
2011-12-13,279.82
2011-12-14,279.68
2011-12-15,279.49
2011-12-16,279.88
2011-12-19,279.96
2011-12-20,279.66
2011-12-21,279.79
2011-12-22,279.97
2011-12-23,279.71
2011-12-27,279.90
2011-12-28,280.49
2011-12-29,280.81
2011-12-30,281.05
2011-12-31,281.08
2012-01-03,281.54
2012-01-04,281.68
2012-01-05,281.76
2012-01-06,282.02
2012-01-09,282.13
2012-01-10,282.25
2012-01-11,282.42
2012-01-12,282.57
2012-01-13,282.92
2012-01-16,283.07
2012-01-17,283.23
2012-01-18,283.26
2012-01-19,283.71
2012-01-20,283.82
2012-01-23,284.27
2012-01-24,284.55
2012-01-25,285.34
2012-01-26,286.62
2012-01-27,287.14
2012-01-30,287.43
2012-01-31,288.02
2012-02-01,288.47
2012-02-02,288.88
2012-02-03,288.74
2012-02-06,289.47
2012-02-07,289.26
2012-02-08,289.47
2012-02-09,289.68
2012-02-10,290.26
2012-02-13,290.33
2012-02-14,290.90
2012-02-15,291.01
2012-02-16,290.45
2012-02-17,290.78
2012-02-20,290.97
2012-02-21,291.25
2012-02-22,292.33
2012-02-23,292.72
2012-02-24,293.18
2012-02-27,293.79
2012-02-28,294.51
2012-02-29,294.96
2012-03-01,295.03
2012-03-02,295.91
2012-03-05,296.01
2012-03-06,295.75
2012-03-07,295.61
2012-03-08,295.98
2012-03-09,296.34
2012-03-12,296.68
2012-03-13,296.79
2012-03-14,296.25
2012-03-15,296.21
2012-03-16,296.31
2012-03-19,296.17
2012-03-20,296.12
2012-03-21,296.46
2012-03-22,296.17
2012-03-23,296.28
2012-03-26,296.46
2012-03-27,296.72
2012-03-28,296.75
2012-03-29,296.69
2012-03-30,296.32
2012-03-31,296.35
2012-04-02,296.36
2012-04-03,296.05
2012-04-04,296.01
2012-04-05,296.02
2012-04-09,296.52
2012-04-10,296.25
2012-04-11,295.97
2012-04-12,296.15
2012-04-13,296.56
2012-04-16,296.76
2012-04-17,296.88
2012-04-18,296.99
2012-04-19,297.14
2012-04-20,297.36
2012-04-23,297.53
2012-04-24,297.59
2012-04-25,298.00
2012-04-26,298.26
2012-04-27,298.77
2012-04-30,299.09
2012-05-01,299.29
2012-05-02,299.87
2012-05-03,300.44
2012-05-04,300.35
2012-05-07,300.32
2012-05-08,300.30
2012-05-09,299.76
2012-05-10,299.82
2012-05-11,299.83
2012-05-14,298.87
2012-05-15,298.09
2012-05-16,297.17
2012-05-17,296.61
2012-05-18,295.67
2012-05-21,295.71
2012-05-22,296.26
2012-05-23,295.71
2012-05-24,295.39
2012-05-25,295.29
2012-05-28,295.45
2012-05-29,295.72
2012-05-30,295.48
2012-05-31,295.26
2012-06-01,295.04
2012-06-04,294.35
2012-06-05,294.88
2012-06-06,295.62
2012-06-07,296.82
2012-06-08,296.84
2012-06-11,297.43
2012-06-12,296.87
2012-06-13,297.51
2012-06-14,297.59
2012-06-15,298.40
2012-06-18,298.73
2012-06-19,299.22
2012-06-20,299.42
2012-06-21,299.42
2012-06-22,299.15
2012-06-25,299.60
2012-06-26,299.56
2012-06-27,299.63
2012-06-28,299.80
2012-06-29,300.29
2012-06-30,300.34
2012-07-02,301.36
2012-07-03,301.78
2012-07-04,301.92
2012-07-05,302.61
2012-07-06,303.05
2012-07-09,303.36
2012-07-10,303.99
2012-07-11,304.30
2012-07-12,304.70
2012-07-13,305.31
2012-07-16,305.97
2012-07-17,306.36
2012-07-18,306.76
2012-07-19,306.94
2012-07-20,307.26
2012-07-23,306.74
2012-07-24,306.50
2012-07-25,306.41
2012-07-26,306.68
2012-07-27,306.68
2012-07-30,307.63
2012-07-31,308.27
2012-08-01,308.32
2012-08-02,308.88
2012-08-03,308.97
2012-08-06,309.92
2012-08-07,309.99
2012-08-08,310.08
2012-08-09,310.08
2012-08-10,310.24
2012-08-13,310.26
2012-08-14,310.03
2012-08-15,309.42
2012-08-16,309.26
2012-08-17,309.39
2012-08-20,309.53
2012-08-21,309.91
2012-08-22,310.63
2012-08-23,311.17
2012-08-24,311.16
2012-08-27,311.45
2012-08-28,311.67
2012-08-29,311.56
2012-08-30,311.52
2012-08-31,311.85
2012-09-03,311.99
2012-09-04,312.09
2012-09-05,312.33
2012-09-06,312.41
2012-09-07,313.07
2012-09-10,313.43
2012-09-11,313.86
2012-09-12,314.09
2012-09-13,314.25
2012-09-14,314.44
2012-09-17,314.73
2012-09-18,314.81
2012-09-19,315.12
2012-09-20,314.95
2012-09-21,315.12
2012-09-24,315.16
2012-09-25,315.10
2012-09-26,314.75
2012-09-27,315.12
2012-09-28,315.72
2012-09-30,315.82
2012-10-01,316.15
2012-10-02,316.47
2012-10-03,316.91
2012-10-04,317.02
2012-10-05,317.16
2012-10-08,317.34
2012-10-09,317.45
