DATE,BAMLHYH0A0HYM2TRIV
2011-09-12,799.69
2011-09-13,798.85
2011-09-14,799.87
2011-09-15,800.65
2011-09-16,802.06
2011-09-19,801.21
2011-09-20,801.65
2011-09-21,801.17
2011-09-22,793.77
2011-09-23,789.38
2011-09-26,787.69
2011-09-27,787.91
2011-09-28,785.27
2011-09-29,781.70
2011-09-30,775.67
2011-10-03,769.54
2011-10-04,757.49
2011-10-05,758.78
2011-10-06,765.92
2011-10-07,769.46
2011-10-10,770.02
2011-10-11,775.27
2011-10-12,782.98
2011-10-13,785.65
2011-10-14,789.05
2011-10-17,791.51
2011-10-18,792.04
2011-10-19,797.41
2011-10-20,799.02
2011-10-21,803.92
2011-10-24,808.17
2011-10-25,811.92
2011-10-26,812.81
2011-10-27,820.63
2011-10-28,822.80
2011-10-31,821.87
2011-11-01,815.17
2011-11-02,817.23
2011-11-03,819.32
2011-11-04,819.94
2011-11-07,819.86
2011-11-08,819.74
2011-11-09,814.64
2011-11-10,813.70
2011-11-11,813.88
2011-11-14,814.25
2011-11-15,812.37
2011-11-16,811.44
2011-11-17,809.86
2011-11-18,808.14
2011-11-21,804.13
2011-11-22,801.28
2011-11-23,798.39
2011-11-24,798.58
2011-11-25,797.84
2011-11-28,800.30
2011-11-29,799.75
2011-11-30,803.70
2011-12-01,806.35
2011-12-02,809.69
2011-12-05,813.25
2011-12-06,814.21
2011-12-07,815.35
2011-12-08,815.72
2011-12-09,815.06
2011-12-12,814.45
2011-12-13,814.98
2011-12-14,814.07
2011-12-15,814.09
2011-12-16,814.75
2011-12-19,815.66
2011-12-20,816.77
2011-12-21,817.69
2011-12-22,818.91
2011-12-23,819.45
2011-12-27,820.50
2011-12-28,821.87
2011-12-29,822.85
2011-12-30,823.60
2011-12-31,823.62
2012-01-03,827.11
2012-01-04,828.30
2012-01-05,828.69
2012-01-06,829.91
2012-01-09,830.92
2012-01-10,832.52
2012-01-11,832.84
2012-01-12,833.26
2012-01-13,832.49
2012-01-16,833.11
2012-01-17,833.41
2012-01-18,834.00
2012-01-19,836.80
2012-01-20,837.30
2012-01-23,839.39
2012-01-24,840.22
2012-01-25,842.36
2012-01-26,846.58
2012-01-27,847.30
2012-01-30,846.50
2012-01-31,847.53
2012-02-01,848.97
2012-02-02,849.57
2012-02-03,851.41
2012-02-06,852.81
2012-02-07,853.77
2012-02-08,855.30
2012-02-09,855.61
2012-02-10,853.79
2012-02-13,855.25
2012-02-14,855.61
2012-02-15,855.55
2012-02-16,854.46
2012-02-17,856.29
2012-02-20,856.85
2012-02-21,857.77
2012-02-22,858.95
2012-02-23,860.69
2012-02-24,863.08
2012-02-27,864.09
2012-02-28,865.34
2012-02-29,866.84
2012-03-01,867.29
2012-03-02,867.77
2012-03-05,866.33
2012-03-06,861.20
2012-03-07,862.14
2012-03-08,863.54
2012-03-09,864.52
2012-03-12,865.30
2012-03-13,866.18
2012-03-14,866.59
2012-03-15,865.64
2012-03-16,865.70
2012-03-19,866.20
2012-03-20,865.41
2012-03-21,866.10
2012-03-22,865.15
2012-03-23,865.02
2012-03-26,865.80
2012-03-27,866.63
2012-03-28,866.56
2012-03-29,865.62
2012-03-30,866.02
2012-03-31,866.03
2012-04-02,866.60
2012-04-03,866.93
2012-04-04,866.25
2012-04-05,865.83
2012-04-09,864.08
2012-04-10,862.60
2012-04-11,862.04
2012-04-12,863.63
2012-04-13,864.32
2012-04-16,864.83
2012-04-17,866.34
2012-04-18,866.69
2012-04-19,867.11
2012-04-20,867.57
2012-04-23,867.30
2012-04-24,868.68
2012-04-25,870.84
2012-04-26,871.53
2012-04-27,873.40
2012-04-30,874.88
2012-05-01,877.03
2012-05-02,877.68
2012-05-03,878.82
2012-05-04,879.48
2012-05-07,879.62
2012-05-08,879.58
2012-05-09,878.48
2012-05-10,879.28
2012-05-11,879.31
2012-05-14,877.55
2012-05-15,876.50
2012-05-16,874.10
2012-05-17,868.46
2012-05-18,865.68
2012-05-21,862.93
2012-05-22,864.85
2012-05-23,863.12
2012-05-24,863.17
2012-05-25,863.57
2012-05-28,864.13
2012-05-29,865.65
2012-05-30,864.68
2012-05-31,864.32
2012-06-01,860.25
2012-06-04,858.70
2012-06-05,856.67
2012-06-06,860.20
2012-06-07,864.01
2012-06-08,864.58
2012-06-11,866.30
2012-06-12,865.07
2012-06-13,866.06
2012-06-14,866.65
2012-06-15,867.99
2012-06-18,869.40
2012-06-19,873.24
2012-06-20,875.76
2012-06-21,877.01
2012-06-22,876.56
2012-06-25,875.90
2012-06-26,876.37
2012-06-27,877.66
2012-06-28,878.58
2012-06-29,881.70
2012-06-30,881.89
2012-07-02,883.83
2012-07-03,885.03
2012-07-04,885.23
2012-07-05,885.99
2012-07-06,886.56
2012-07-09,887.13
2012-07-10,888.28
2012-07-11,889.01
2012-07-12,888.21
2012-07-13,888.35
2012-07-16,889.06
2012-07-17,889.63
2012-07-18,891.14
2012-07-19,893.00
2012-07-20,893.27
2012-07-23,891.83
2012-07-24,891.81
2012-07-25,891.48
2012-07-26,892.76
2012-07-27,894.23
2012-07-30,896.73
2012-07-31,898.79
2012-08-01,899.86
2012-08-02,900.05
2012-08-03,901.44
2012-08-06,903.19
2012-08-07,904.38
2012-08-08,904.65
2012-08-09,904.55
2012-08-10,903.78
2012-08-13,904.22
2012-08-14,903.87
2012-08-15,903.11
2012-08-16,902.75
2012-08-17,903.22
2012-08-20,904.28
2012-08-21,905.60
2012-08-22,906.43
2012-08-23,907.03
2012-08-24,907.16
2012-08-27,908.09
2012-08-28,908.36
2012-08-29,908.89
2012-08-30,909.19
2012-08-31,909.63
2012-09-03,910.21
2012-09-04,910.66
2012-09-05,911.37
2012-09-06,913.26
2012-09-07,916.38
2012-09-10,918.05
2012-09-11,919.57
2012-09-12,922.53
2012-09-13,923.81
2012-09-14,927.49
2012-09-17,928.29
2012-09-18,928.91
2012-09-19,929.16
2012-09-20,928.21
2012-09-21,927.80
2012-09-24,926.69
2012-09-25,925.42
2012-09-26,920.28
2012-09-27,921.94
2012-09-28,922.20
2012-09-30,922.59
2012-10-01,923.77
2012-10-02,923.98
2012-10-03,924.41
2012-10-04,925.66
2012-10-05,926.76
2012-10-08,927.34
2012-10-09,926.89
2012-10-10,926.16
2012-10-11,928.07
2012-10-12,928.35
2012-10-15,930.12
2012-10-16,931.63
2012-10-17,933.57
2012-10-18,934.44
2012-10-19,933.96
2012-10-22,934.11
2012-10-23,931.66
2012-10-24,931.97
2012-10-25,932.15
2012-10-26,930.89
2012-10-29,930.49
2012-10-31,930.20
2012-11-01,931.32
2012-11-02,932.18
2012-11-05,932.78
2012-11-06,933.86
2012-11-07,932.98
2012-11-08,932.49
2012-11-09,929.94
2012-11-12,930.53
2012-11-13,928.90
2012-11-14,927.95
2012-11-15,924.21
2012-11-16,923.36
2012-11-19,926.19
2012-11-20,927.65
2012-11-21,928.66
2012-11-22,928.85
2012-11-23,929.33
2012-11-26,931.07
2012-11-27,932.68
2012-11-28,933.18
2012-11-29,935.65
2012-11-30,937.10
2012-12-03,938.68
2012-12-04,939.96
2012-12-05,942.94
2012-12-06,944.27
2012-12-07,945.64
2012-12-10,946.68
2012-12-11,948.36
2012-12-12,949.67
2012-12-13,950.07
2012-12-14,949.94
2012-12-17,950.36
2012-12-18,950.98
2012-12-19,951.72
2012-12-20,952.01
2012-12-21,950.99
2012-12-24,951.37
2012-12-26,951.91
2012-12-27,951.98
2012-12-28,951.84
2012-12-31,951.96
2013-01-02,955.93
2013-01-03,957.95
2013-01-04,958.67
2013-01-07,960.26
2013-01-08,961.13
2013-01-09,962.62
2013-01-10,963.63
2013-01-11,964.42
2013-01-14,965.01
2013-01-15,964.35
2013-01-16,964.60
2013-01-17,965.79
2013-01-18,966.62
2013-01-21,967.20
2013-01-22,967.81
2013-01-23,969.16
2013-01-24,970.05
2013-01-25,970.72
2013-01-28,970.91
2013-01-29,969.24
2013-01-30,967.52
2013-01-31,965.06
2013-02-01,965.48
2013-02-04,964.37
2013-02-05,963.38
2013-02-06,963.27
2013-02-07,962.22
2013-02-08,961.81
2013-02-11,962.31
2013-02-12,962.52
2013-02-13,963.99
2013-02-14,964.49
2013-02-15,964.99
2013-02-18,965.57
2013-02-19,965.98
2013-02-20,966.60
2013-02-21,965.58
2013-02-22,966.24
2013-02-25,967.90
2013-02-26,967.10
2013-02-27,968.11
2013-02-28,969.53
2013-03-01,969.66
2013-03-04,970.45
2013-03-05,971.93
2013-03-06,972.76
2013-03-07,973.41
2013-03-08,973.74
2013-03-11,974.51
2013-03-12,975.25
2013-03-13,975.62
2013-03-14,976.47
2013-03-15,977.30
