date,faber_mm
12/31/73,0.07
12/31/74,0.12
12/31/75,0.01
12/31/76,0.16
12/31/77,0.07
12/31/78,0.12
12/31/79,0.15
12/31/80,0.12
12/31/81,0.04
12/31/82,0.21
12/31/83,0.16
12/31/84,0.07
12/31/85,0.26
12/31/86,0.21
12/31/87,0.12
12/31/88,0.12
12/31/89,0.18
12/31/90,0.05
12/31/91,0.06
12/31/92,0.05
12/31/93,0.13
12/31/94,0.02
12/31/95,0.22
12/31/96,0.19
12/31/97,0.10
12/31/98,0.07
12/31/99,0.13
12/31/00,0.14
12/31/01,0.03
12/31/02,0.03
12/31/03,0.20
12/31/04,0.15
12/31/05,0.08
12/31/06,0.14
12/31/07,0.10
12/31/08,-0.01
12/31/09,0.13
12/31/10,0.04
12/31/11,0.02
12/31/12,0.01
