Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE,,,,,,
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,85.62,5.01,7.71,NA,,,,,,
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,84.21,4.87,7.48,NA,,,,,,
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,85.00,4.79,7.38,NA,,,,,,
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,90.71,4.98,7.66,NA,,,,,,
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,95.17,5.09,7.83,NA,,,,,,
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,95.88,5.17,7.96,NA,,,,,,
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,94.08,5.17,7.96,NA,,,,,,
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,96.80,5.25,8.08,NA,,,,,,
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,95.52,5.13,7.89,NA,,,,,,
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,89.19,5.05,7.77,NA,,,,,,
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,90.16,5.05,7.77,NA,,,,,,
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,90.03,4.94,7.60,NA,,,,,,
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,92.31,5.00,7.64,NA,,,,,,
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,92.69,5.07,7.69,NA,,,,,,
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,94.31,5.05,7.63,NA,,,,,,
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,94.82,5.00,7.51,NA,,,,,,
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,94.82,5.07,7.55,NA,,,,,,
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,94.59,5.16,7.65,NA,,,,,,
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,95.43,5.30,7.81,NA,,,,,,
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,93.62,5.33,7.80,NA,,,,,,
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,91.27,5.35,7.79,NA,,,,,,
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,93.69,5.53,8.01,NA,,,,,,
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,90.61,5.43,7.83,NA,,,,,,
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,94.17,5.57,7.99,NA,,,,,,
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,94.92,5.62,8.03,NA,,,,,,
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,93.60,5.54,7.91,NA,,,,,,
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,92.87,5.59,7.95,NA,,,,,,
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,91.60,5.63,8.00,NA,,,,,,
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,93.80,5.80,8.22,NA,,,,,,
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,95.31,6.03,8.52,NA,,,,,,
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,95.11,6.08,8.56,NA,,,,,,
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,95.11,6.12,8.61,NA,,,,,,
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,87.84,6.17,8.66,NA,,,,,,
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,82.05,6.36,8.91,NA,,,,,,
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,81.65,6.62,9.25,NA,,,,,,
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,87.23,6.51,9.08,NA,,,,,,
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,90.55,6.41,8.94,NA,,,,,,
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,93.27,6.41,8.94,NA,,,,,,
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,91.91,6.41,8.94,NA,,,,,,
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,90.78,6.51,9.08,NA,,,,,,
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,89.11,6.56,9.15,NA,,,,,,
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,90.86,6.72,9.37,NA,,,,,,
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,90.13,6.67,9.30,NA,,,,,,
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,91.06,6.72,9.37,NA,,,,,,
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,92.49,6.72,9.37,NA,,,,,,
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,93.80,6.83,9.52,NA,,,,,,
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,95.41,6.89,9.60,NA,,,,,,
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,94.78,6.89,9.60,NA,,,,,,
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,94.78,6.84,9.43,NA,,,,,,
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,94.57,6.79,9.25,NA,,,,,,
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,95.83,6.73,9.08,NA,,,,,,
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,96.28,6.63,8.84,NA,,,,,,
